date,city,ad_channel,cost,number_of_clients
2023-09-02,Москва,youtube,483.07,70
2023-09-02,Санкт-Петербург,influencers,4068.33,57
2023-09-05,Санкт-Петербург,facebook,1691.67,75
2023-09-05,Москва,google,860.31,8
2023-09-01,Москва,instagram,2918.7,33
2023-09-04,Москва,google,3405.81,89
2023-09-02,Москва,youtube,823.59,43
2023-09-01,Санкт-Петербург,tv,4100.01,92
2023-09-02,Санкт-Петербург,tv,2985.3,9
2023-09-03,Омск,youtube,727.83,50
2023-09-05,Москва,youtube,107.46,88
2023-09-01,Москва,instagram,1293.32,68
2023-09-04,Москва,tv,725.84,78
2023-09-05,Москва,tv,3032.18,86
2023-09-04,Москва,tv,877.42,3
2023-09-01,Москва,tv,2157.33,71
2023-09-02,Санкт-Петербург,tv,2296.95,32
2023-09-01,Москва,youtube,2094.36,95
2023-09-05,Санкт-Петербург,tv,314.38,3
2023-09-03,Москва,tv,4677.16,64
2023-09-03,Москва,tv,4333.11,24
2023-09-03,Казань,youtube,3217.73,92
2023-09-02,Москва,influencers,1621.02,17
2023-09-02,Уфа,influencers,783.73,27
2023-09-04,Москва,instagram,3085.75,48
2023-09-04,Санкт-Петербург,influencers,3440.2,25
2023-09-04,Москва,tv,1482.04,88
2023-09-01,Москва,google,2729.43,18
2023-09-02,Санкт-Петербург,google,591.39,82
2023-09-02,Санкт-Петербург,influencers,952.64,61
2023-09-02,Москва,google,2627.02,4
2023-09-05,Новосибирск,tv,3397.53,15
2023-09-05,Санкт-Петербург,youtube,4928.86,87
2023-09-05,Санкт-Петербург,instagram,4142.72,94
2023-09-01,Самара,youtube,677.11,51
2023-09-01,Омск,influencers,3542.92,3
2023-09-05,Москва,youtube,3378.05,13
2023-09-03,Омск,influencers,1802.34,41
2023-09-05,Москва,google,3112.67,45
2023-09-03,Санкт-Петербург,facebook,4152.04,49
2023-09-03,Самара,google,116.02,27
2023-09-02,Санкт-Петербург,youtube,4780.88,2
2023-09-05,Москва,google,974.9,99
2023-09-04,Москва,facebook,4342.93,12
2023-09-05,Москва,facebook,2807.86,3
2023-09-05,Санкт-Петербург,youtube,2595.48,6
2023-09-02,Уфа,tv,3325.21,88
2023-09-03,Санкт-Петербург,tv,1295.73,91
2023-09-04,Москва,youtube,4265.76,3
2023-09-03,Казань,google,1326.31,56
2023-09-01,Москва,facebook,4543.91,52
2023-09-02,Санкт-Петербург,youtube,1948.79,9
2023-09-03,Москва,youtube,3544.8,56
2023-09-03,Казань,youtube,1583.32,44
2023-09-03,Ростов-на-Дону,influencers,1039.36,39
2023-09-01,Санкт-Петербург,instagram,4082.95,25
2023-09-05,Санкт-Петербург,tv,2767.96,18
2023-09-01,Уфа,facebook,1647.9,28
2023-09-05,Новосибирск,instagram,4908.9,63
2023-09-04,Москва,facebook,2751.93,44
2023-09-02,Москва,youtube,3306.4,12
2023-09-02,Москва,instagram,2943.88,61
2023-09-01,Москва,influencers,4585.66,79
2023-09-05,Казань,youtube,2074.65,100
2023-09-01,Санкт-Петербург,youtube,366.65,86
2023-09-04,Санкт-Петербург,facebook,1743.67,31
2023-09-01,Ростов-на-Дону,facebook,1594.91,100
2023-09-05,Москва,google,3296.37,6
2023-09-05,Екатеринбург,facebook,1116.92,6
