date,ad_channel,impressions,clicks,ad_spend,country
2018-06-01,facebook,208,208,89.0,Argentina
2018-06-01,instagram,341,341,118.82,Argentina
2018-06-01,instagram,300,300,105.88,France
2018-06-01,instagram,288,288,107.06,UK
2018-06-02,facebook,186,186,100.0,China
2018-06-02,facebook,208,208,115.0,UK
2018-06-03,google,137,137,23.57,China
2018-06-03,instagram,335,335,115.29,Danmark
2018-06-03,instagram,279,279,107.06,US
2018-06-04,facebook,218,218,86.0,France
2018-06-04,facebook,236,236,102.0,Germany
2018-06-04,facebook,180,180,106.0,Sweden
2018-06-04,facebook,160,160,86.0,US
2018-06-04,instagram,262,262,138.82,Canada
2018-06-05,facebook,224,224,85.0,Argentina
2018-06-05,facebook,208,208,117.0,China
2018-06-05,facebook,202,202,106.0,US
2018-06-06,google,107,107,19.76,Spain
2018-06-06,instagram,268,268,107.06,Brazil
2018-06-07,instagram,306,306,122.35,China
2018-06-08,facebook,422,422,217.0,China
2018-06-08,facebook,414,414,193.0,India
2018-06-08,facebook,232,232,101.0,Spain
2018-06-08,facebook,160,160,118.0,UK
2018-06-08,facebook,226,226,99.0,US
2018-06-09,facebook,392,392,198.0,Germany
2018-06-09,facebook,174,174,102.0,US
2018-06-09,google,124,124,25.95,US
2018-06-10,instagram,262,262,112.94,Germany
2018-06-10,instagram,591,591,223.53,UK
2018-06-10,instagram,276,276,104.71,US
2018-06-11,google,125,125,21.43,India
2018-06-11,google,136,136,21.19,Sweden
2018-06-11,instagram,238,238,100.0,India
2018-06-11,instagram,344,344,101.18,US
2018-06-12,facebook,194,194,119.0,US
2018-06-12,instagram,300,300,120.0,Germany
2018-06-13,facebook,198,198,108.0,India
2018-06-13,facebook,216,216,90.0,US
2018-06-13,google,106,106,25.71,India
2018-06-14,instagram,300,300,112.94,China
2018-06-15,facebook,196,196,90.0,UK
2018-06-15,instagram,279,279,105.88,Sweden
2018-06-16,facebook,206,206,96.0,India
2018-06-16,facebook,184,184,97.0,UK
2018-06-16,instagram,244,244,124.71,Argentina
2018-06-16,instagram,274,274,125.88,China
2018-06-16,instagram,332,332,136.47,US
2018-06-17,facebook,174,174,89.0,Argentina
2018-06-17,facebook,168,168,108.0,China
2018-06-17,google,101,101,22.14,Germany
2018-06-18,facebook,164,164,99.0,US
2018-06-18,instagram,294,294,94.12,China
2018-06-18,instagram,332,332,109.41,France
2018-06-18,instagram,641,641,212.94,Germany
2018-06-19,facebook,180,180,111.0,China
2018-06-19,facebook,214,214,84.0,Germany
2018-06-19,instagram,282,282,100.0,France
2018-06-20,instagram,312,312,95.29,Argentina
2018-06-20,instagram,318,318,108.24,China
2018-06-20,instagram,235,235,105.88,Germany
2018-06-21,facebook,202,202,80.0,China
2018-06-21,facebook,174,174,82.0,US
2018-06-21,instagram,326,326,130.59,Sweden
2018-06-22,facebook,216,216,87.0,Brazil
2018-06-22,facebook,204,204,88.0,US
2018-06-22,instagram,274,274,94.12,Danmark
2018-06-22,instagram,276,276,112.94,US
2018-06-23,facebook,206,206,97.0,Canada
2018-06-23,instagram,332,332,103.53,China
2018-06-24,facebook,196,196,94.0,Danmark
2018-06-24,facebook,196,196,87.0,UK
2018-06-24,facebook,236,236,113.0,US
2018-06-24,instagram,350,350,96.47,Danmark
2018-06-24,instagram,315,315,118.82,UK
2018-06-24,instagram,265,265,104.71,US
2018-06-25,instagram,238,238,128.24,China
2018-06-25,instagram,312,312,138.82,India
2018-06-26,facebook,220,220,103.0,Canada
2018-06-27,google,114,114,23.33,China
2018-06-27,google,132,132,26.43,Germany
2018-06-28,facebook,188,188,90.0,Germany
2018-06-28,facebook,230,230,117.0,Sweden
2018-06-28,google,118,118,19.52,US
2018-06-28,instagram,297,297,94.12,China
2018-06-28,instagram,653,653,256.47,US
2018-06-29,facebook,202,202,110.0,China
2018-06-29,facebook,176,176,96.0,US
2018-06-29,google,95,95,25.0,India
2018-06-29,instagram,279,279,138.82,China
2018-06-29,instagram,306,306,117.65,France
2018-06-30,instagram,271,271,125.88,US
2018-07-01,facebook,222,222,92.0,Germany
2018-07-01,instagram,265,265,98.82,UK
2018-07-01,instagram,303,303,132.94,US
2018-07-02,facebook,202,202,110.0,China
2018-07-02,facebook,206,206,110.0,France
2018-07-02,instagram,291,291,131.76,China
2018-07-02,instagram,591,591,228.24,France
2018-07-02,instagram,256,256,101.18,India
2018-07-03,facebook,160,160,97.0,Brazil
2018-07-03,google,114,114,25.95,UK
2018-07-04,facebook,204,204,104.0,Argentina
2018-07-04,facebook,178,178,110.0,China
2018-07-04,google,101,101,23.81,India
2018-07-04,instagram,618,618,196.47,China
2018-07-04,instagram,332,332,137.65,US
2018-07-05,facebook,200,200,90.0,China
2018-07-05,facebook,218,218,97.0,India
2018-07-05,facebook,206,206,98.0,US
2018-07-05,instagram,288,288,122.35,India
2018-07-06,instagram,509,509,231.76,Brazil
2018-07-06,instagram,288,288,138.82,Canada
2018-07-06,instagram,597,597,220.0,US
2018-07-07,facebook,184,184,93.0,India
2018-07-07,facebook,198,198,111.0,Sweden
2018-07-07,facebook,402,402,202.0,US
2018-07-07,google,136,136,22.14,Canada
2018-07-07,instagram,265,265,101.18,US
2018-07-08,facebook,170,170,86.0,Sweden
2018-07-08,google,110,110,26.9,US
2018-07-08,instagram,312,312,130.59,India
2018-07-09,facebook,220,220,119.0,Argentina
2018-07-09,facebook,170,170,110.0,Canada
2018-07-09,instagram,326,326,107.06,Canada
2018-07-09,instagram,839,839,396.47,China
2018-07-09,instagram,306,306,130.59,Danmark
2018-07-10,facebook,236,236,95.0,China
2018-07-10,instagram,332,332,125.88,Brazil
2018-07-10,instagram,332,332,130.59,Germany
2018-07-10,instagram,253,253,96.47,UK
2018-07-11,facebook,360,360,216.0,India
2018-07-11,instagram,282,282,134.12,China
2018-07-11,instagram,274,274,103.53,US
2018-07-12,facebook,212,212,96.0,Brazil
2018-07-12,facebook,162,162,101.0,Canada
2018-07-12,facebook,234,234,89.0,India
2018-07-12,facebook,208,208,81.0,US
2018-07-12,instagram,335,335,98.82,Brazil
2018-07-12,instagram,259,259,118.82,China
2018-07-12,instagram,247,247,96.47,Germany
