ad_channel,dt,impressions,clicks,ad_spend
facebook,2020-07-07,937,47,458.7
facebook,2020-07-08,1180,59,553.9
facebook,2020-07-09,871,44,446.7
facebook,2020-07-10,958,48,486.4
facebook,2020-07-11,1224,62,623.9
facebook,2020-07-12,906,46,470.6
facebook,2020-07-13,977,49,488.1
facebook,2020-07-14,1012,52,516.3
facebook,2020-07-15,1051,53,534.4
facebook,2020-07-16,1009,50,511.8
facebook,2020-07-17,1071,53,522.2
facebook,2020-07-18,841,42,410.6
facebook,2020-07-19,1094,54,551.4
facebook,2020-07-20,978,48,468.5
facebook,2020-07-21,764,39,389.6
facebook,2020-07-22,799,40,402.2
facebook,2020-07-23,968,50,514.3
facebook,2020-07-24,946,49,499.0
facebook,2020-07-25,851,42,417.8
facebook,2020-07-26,782,39,393.2
facebook,2020-07-27,801,41,412.6
facebook,2020-07-28,1383,69,682.8
facebook,2020-07-29,764,39,384.3
facebook,2020-07-30,1395,69,696.4
facebook,2020-07-31,727,37,362.8
facebook,2020-08-01,899,45,460.2
facebook,2020-08-02,951,49,487.8
facebook,2020-08-03,928,47,462.8
facebook,2020-08-04,821,41,413.5
facebook,2020-08-05,861,42,421.3
facebook,2020-08-06,976,49,493.5
facebook,2020-08-07,1120,57,562.9
facebook,2020-08-08,972,48,479.9
facebook,2020-08-09,745,37,374.9
facebook,2020-08-10,969,50,499.1
facebook,2020-08-11,889,45,430.9
facebook,2020-08-12,952,47,460.2
facebook,2020-08-13,1180,59,591.2
facebook,2020-08-14,869,44,428.5
facebook,2020-08-15,1260,63,626.7
facebook,2020-08-16,1141,57,574.7
facebook,2020-08-17,802,40,391.5
facebook,2020-08-18,816,42,420.3
facebook,2020-08-19,947,47,470.7
facebook,2020-08-20,1054,53,534.9
facebook,2020-08-21,1264,63,624.6
facebook,2020-08-22,1104,55,532.1
facebook,2020-08-23,876,44,453.6
facebook,2020-08-24,1031,52,514.4
facebook,2020-08-25,954,48,479.5
facebook,2020-08-26,1211,61,611.7
facebook,2020-08-27,831,44,433.9
facebook,2020-08-28,772,38,368.5
facebook,2020-08-29,1085,54,531.8
facebook,2020-08-30,1020,51,494.8
facebook,2020-08-31,1035,52,524.3
facebook,2020-09-01,1233,62,615.7
facebook,2020-09-02,825,42,424.6
facebook,2020-09-03,861,43,438.5
facebook,2020-09-04,1147,57,552.3
facebook,2020-09-05,1022,51,505.0
facebook,2020-09-06,922,46,448.5
facebook,2020-09-07,907,45,448.7
facebook,2020-09-08,1022,50,508.5
facebook,2020-09-09,1299,64,654.7
facebook,2020-09-10,1126,56,570.5
facebook,2020-09-11,1200,60,593.5
facebook,2020-09-12,970,50,498.3
facebook,2020-09-13,821,43,433.6
facebook,2020-09-14,1090,54,546.5
facebook,2020-09-15,1010,52,514.6
facebook,2020-09-16,1247,61,614.1
facebook,2020-09-17,1036,53,528.0
facebook,2020-09-18,1255,62,623.0
facebook,2020-09-19,1054,52,522.3
facebook,2020-09-20,928,46,456.5
facebook,2020-09-21,896,45,446.7
facebook,2020-09-22,955,48,478.6
facebook,2020-09-23,1499,74,752.6
facebook,2020-09-24,828,42,419.8
facebook,2020-09-25,1274,64,642.5
facebook,2020-09-26,1022,51,500.0
facebook,2020-09-27,1027,53,514.5
facebook,2020-09-28,1055,53,526.9
facebook,2020-09-29,1137,56,564.7
facebook,2020-09-30,1046,53,528.2
facebook,2020-10-01,1385,70,698.6
facebook,2020-10-02,1345,67,676.7
facebook,2020-10-03,1085,55,554.0
facebook,2020-10-04,1229,59,583.8
facebook,2020-10-05,1131,57,581.0
facebook,2020-10-06,1191,59,600.6
facebook,2020-10-07,1178,60,595.5
facebook,2020-10-08,894,45,429.8
facebook,2020-10-09,1102,56,570.7
facebook,2020-10-10,1204,60,612.3
facebook,2020-10-11,1048,51,517.9
facebook,2020-10-12,1204,60,596.0
facebook,2020-10-13,1348,68,671.5
facebook,2020-10-14,1181,59,586.1
facebook,2020-10-15,1204,60,608.8
facebook,2020-10-16,910,46,451.3
facebook,2020-10-17,974,49,472.4
facebook,2020-10-18,1097,55,540.5
facebook,2020-10-19,1005,52,517.0
facebook,2020-10-20,1172,58,580.2
facebook,2020-10-21,1227,63,631.5
facebook,2020-10-22,1375,69,668.9
facebook,2020-10-23,945,47,462.9
facebook,2020-10-24,993,49,505.8
facebook,2020-10-25,1085,54,535.8
facebook,2020-10-26,1126,58,572.8
facebook,2020-10-27,1229,60,597.5
facebook,2020-10-28,916,45,457.2
facebook,2020-10-29,1063,53,523.0
facebook,2020-10-30,1144,57,572.6
facebook,2020-10-31,1122,58,584.1
facebook,2020-11-01,1085,55,537.6
facebook,2020-11-02,919,47,477.2
facebook,2020-11-03,934,46,452.9
facebook,2020-11-04,1210,60,593.4
facebook,2020-11-05,981,49,484.5
facebook,2020-11-06,856,43,416.6
facebook,2020-11-07,927,47,470.0
facebook,2020-11-08,1041,53,525.6
facebook,2020-11-09,1010,51,512.5
facebook,2020-11-10,1031,52,512.5
facebook,2020-11-11,984,50,492.6
facebook,2020-11-12,868,43,426.8
facebook,2020-11-13,773,39,385.2
facebook,2020-11-14,1052,52,517.1
facebook,2020-11-15,1042,54,530.3
facebook,2020-11-16,1033,52,523.2
facebook,2020-11-17,1019,50,490.2
facebook,2020-11-18,804,42,432.2
facebook,2020-11-19,1010,51,515.4
facebook,2020-11-20,1055,52,509.4
facebook,2020-11-21,1065,53,532.7
facebook,2020-11-22,1131,57,552.5
facebook,2020-11-23,985,50,493.2
facebook,2020-11-24,860,43,426.6
facebook,2020-11-25,1175,58,574.3
facebook,2020-11-26,1108,55,548.2
facebook,2020-11-27,842,43,437.5
facebook,2020-11-28,965,48,483.2
facebook,2020-11-29,865,43,432.7
facebook,2020-11-30,1197,62,607.5
facebook,2020-12-01,1105,56,562.5
facebook,2020-12-02,999,50,504.9
facebook,2020-12-03,1175,59,574.0
facebook,2020-12-04,891,44,437.5
facebook,2020-12-05,1009,50,500.5
facebook,2020-12-06,989,50,499.7
facebook,2020-12-07,1122,57,576.5
facebook,2020-12-08,935,47,464.3
facebook,2020-12-09,1077,53,534.8
facebook,2020-12-10,1065,54,529.4
facebook,2020-12-11,874,44,437.3
facebook,2020-12-12,1134,58,577.8
facebook,2020-12-13,866,43,419.1
facebook,2020-12-14,987,50,491.0
facebook,2020-12-15,1063,53,546.5
facebook,2020-12-16,975,50,502.2
facebook,2020-12-17,1153,57,569.4
facebook,2020-12-18,1411,71,692.8
facebook,2020-12-19,862,43,433.1
facebook,2020-12-20,954,47,461.2
facebook,2020-12-21,1203,59,594.0
facebook,2020-12-22,1068,54,544.1
facebook,2020-12-23,941,47,460.9
facebook,2020-12-24,994,50,490.5
facebook,2020-12-25,853,42,397.4
facebook,2020-12-26,1291,65,643.7
facebook,2020-12-27,1199,60,609.6
facebook,2020-12-28,1014,52,524.8
facebook,2020-12-29,1114,56,556.4
facebook,2020-12-30,1109,54,530.1
facebook,2020-12-31,915,46,446.9
facebook,2021-01-01,761,39,398.4
facebook,2021-01-02,661,33,318.3
facebook,2021-01-03,640,33,333.0
facebook,2021-01-04,788,40,393.3
facebook,2021-01-05,893,44,436.6
facebook,2021-01-06,947,48,469.1
facebook,2021-01-07,871,43,418.5
facebook,2021-01-08,932,46,469.6
facebook,2021-01-09,1060,53,536.2
facebook,2021-01-10,1033,52,519.3
facebook,2021-01-11,889,44,424.9
facebook,2021-01-12,949,47,455.1
facebook,2021-01-13,852,42,420.1
facebook,2021-01-14,1183,59,574.0
facebook,2021-01-15,1360,68,677.7
facebook,2021-01-16,923,47,460.7
facebook,2021-01-17,964,48,485.3
facebook,2021-01-18,907,46,460.0
facebook,2021-01-19,740,37,367.2
facebook,2021-01-20,898,46,462.3
facebook,2021-01-21,906,45,462.5
facebook,2021-01-22,902,45,435.9
facebook,2021-01-23,1062,53,525.9
facebook,2021-01-24,1096,53,516.0
facebook,2021-01-25,1023,52,517.3
facebook,2021-01-26,1030,52,520.5
facebook,2021-01-27,949,49,484.7
facebook,2021-01-28,1103,56,545.5
facebook,2021-01-29,886,46,446.2
facebook,2021-01-30,1168,59,578.5
facebook,2021-01-31,1137,56,551.5
facebook,2021-02-01,1232,62,604.5
facebook,2021-02-02,975,49,485.7
facebook,2021-02-03,869,44,435.7
facebook,2021-02-04,509,26,262.5
facebook,2021-02-05,1061,53,518.5
facebook,2021-02-06,844,43,439.4
facebook,2021-02-07,858,43,433.6
facebook,2021-02-08,1137,57,550.2
facebook,2021-02-09,984,51,514.3
facebook,2021-02-10,866,44,442.6
facebook,2021-02-11,1042,52,512.1
facebook,2021-02-12,1086,54,545.1
facebook,2021-02-13,689,34,337.6
facebook,2021-02-14,1167,58,571.0
facebook,2021-02-15,987,51,513.8
facebook,2021-02-16,1093,55,549.0
facebook,2021-02-17,750,38,378.5
facebook,2021-02-18,1122,57,568.8
facebook,2021-02-19,1120,56,572.8
facebook,2021-02-20,871,45,438.1
facebook,2021-02-21,1013,51,502.5
facebook,2021-02-22,823,42,423.0
facebook,2021-02-23,987,49,478.7
facebook,2021-02-24,1058,53,531.6
facebook,2021-02-25,837,42,419.5
facebook,2021-02-26,1296,63,606.1
facebook,2021-02-27,963,49,491.3
facebook,2021-02-28,779,39,381.1
facebook,2021-03-01,928,46,446.1
facebook,2021-03-02,1192,60,609.2
facebook,2021-03-03,1227,61,606.6
facebook,2021-03-04,964,48,465.7
facebook,2021-03-05,1025,51,511.3
facebook,2021-03-06,1248,62,595.5
facebook,2021-03-07,936,47,469.0
facebook,2021-03-08,1156,58,584.7
facebook,2021-03-09,734,37,366.2
facebook,2021-03-10,935,47,465.9
facebook,2021-03-11,1022,51,511.0
facebook,2021-03-12,1030,51,496.9
facebook,2021-03-13,969,48,477.3
facebook,2021-03-14,954,48,477.4
facebook,2021-03-15,994,51,502.5
facebook,2021-03-16,964,48,466.7
facebook,2021-03-17,1114,56,557.9
facebook,2021-03-18,906,44,443.1
facebook,2021-03-19,949,48,462.0
facebook,2021-03-20,1069,52,521.1
facebook,2021-03-21,1115,57,563.7
facebook,2021-03-22,883,45,448.3
facebook,2021-03-23,1179,58,581.8
facebook,2021-03-24,996,51,522.3
facebook,2021-03-25,1051,52,511.6
facebook,2021-03-26,1490,76,772.8
facebook,2021-03-27,1079,54,522.9
facebook,2021-03-28,1403,70,691.5
facebook,2021-03-29,1021,50,486.4
facebook,2021-03-30,830,42,416.9
facebook,2021-03-31,1179,58,590.4
facebook,2021-04-01,1133,57,579.4
facebook,2021-04-02,1077,54,533.6
facebook,2021-04-03,1048,52,505.9
facebook,2021-04-04,897,45,451.1
facebook,2021-04-05,1024,51,499.6
facebook,2021-04-06,1025,52,530.2
facebook,2021-04-07,804,41,403.2
facebook,2021-04-08,1069,53,530.7
facebook,2021-04-09,995,49,487.8
facebook,2021-04-10,1209,60,590.1
facebook,2021-04-11,860,43,434.9
facebook,2021-04-12,1090,54,548.3
facebook,2021-04-13,898,44,434.0
facebook,2021-04-14,993,50,501.0
facebook,2021-04-15,684,35,349.8
facebook,2021-04-16,830,41,403.4
facebook,2021-04-17,936,47,460.1
facebook,2021-04-18,824,40,394.9
facebook,2021-04-19,977,50,497.5
facebook,2021-04-20,1064,54,529.1
facebook,2021-04-21,778,40,399.7
facebook,2021-04-22,969,50,495.2
facebook,2021-04-23,743,38,376.9
facebook,2021-04-24,836,42,423.5
facebook,2021-04-25,915,46,457.5
facebook,2021-04-26,586,29,284.5
facebook,2021-04-27,927,48,489.5
facebook,2021-04-28,917,46,447.7
facebook,2021-04-29,780,39,398.7
facebook,2021-04-30,1180,59,591.1
facebook,2021-05-01,760,38,367.8
facebook,2021-05-02,753,36,365.2
facebook,2021-05-03,824,42,419.3
facebook,2021-05-04,666,34,334.1
facebook,2021-05-05,924,47,465.8
facebook,2021-05-06,703,37,376.7
facebook,2021-05-07,828,42,422.6
facebook,2021-05-08,773,39,400.2
facebook,2021-05-09,860,43,440.6
facebook,2021-05-10,679,34,348.5
facebook,2021-05-11,884,47,466.6
facebook,2021-05-12,949,47,468.7
facebook,2021-05-13,536,27,267.6
facebook,2021-05-14,647,33,330.0
facebook,2021-05-15,647,33,332.3
facebook,2021-05-16,470,24,237.2
facebook,2021-05-17,554,28,278.8
facebook,2021-05-18,616,31,299.2
facebook,2021-05-19,552,28,277.3
facebook,2021-05-20,757,37,377.8
facebook,2021-05-21,452,22,220.3
facebook,2021-05-22,460,24,233.5
facebook,2021-05-23,710,36,355.4
facebook,2021-05-24,686,35,349.4
facebook,2021-05-25,493,24,239.8
facebook,2021-05-26,533,27,269.9
facebook,2021-05-27,551,28,280.4
facebook,2021-05-28,505,26,257.8
facebook,2021-05-29,504,25,249.0
facebook,2021-05-30,366,19,190.0
facebook,2021-05-31,716,37,366.8
facebook,2021-06-01,522,26,249.5
