"book_id","authors","original_publication_year","title","language_code","small_image_url","price","description"
1,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)",eng,https://images.gr-assets.com/books/1447303603s/2767052.jpg,17.05,"In a future North America, where the rulers of Panem maintain control through an annual televised survival competition pitting young people from each of the twelve districts against one another, sixteen-year-old Katniss's skills are put to the test when she voluntarily takes her younger sister's place."
2,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,https://images.gr-assets.com/books/1474154022s/3.jpg,12.45,
3,Stephenie Meyer,2005,"Twilight (Twilight, #1)",en-US,https://images.gr-assets.com/books/1361039443s/41865.jpg,23.94,
4,Harper Lee,1960,To Kill a Mockingbird,eng,https://images.gr-assets.com/books/1361975680s/2657.jpg,22.35,"Harper Lee's Pulitzer Prize-winning masterwork of honor and injustice in the deep South -- and the heroism of one man in the face of blind and violent hatred One of the best-loved stories of all time, To Kill a Mockingbird has been translated into more than forty languages, sold more than thirty million copies worldwide, served as the basis of an enormously popular motion picture, and was voted one of the best novels of the twentieth century by librarians across the country. A gripping, heart-wrenching, and wholly remarkable tale of coming-of-age in a South poisoned by virulent prejudice, it views a world of great beauty and savage inequities through the eyes of a young girl, as her father -- a crusading local lawyer -- risks everything to defend a black man unjustly accused of a terrible crime."
5,F. Scott Fitzgerald,1925,The Great Gatsby,eng,https://images.gr-assets.com/books/1490528560s/4671.jpg,16.38,"A true classic of twentieth-century literature, this edition has been updated by Fitzgerald scholar James L.W. West III to include the author’s final revisions and features a note on the composition and text, a personal foreword by Fitzgerald’s granddaughter, Eleanor Lanahan—and a new introduction by two-time National Book Award winner Jesmyn Ward. Nominated as one of America’s best-loved novels by PBS’s The Great American Read. The Great Gatsby, F. Scott Fitzgerald’s third book, stands as the supreme achievement of his career. First published in 1925, this quintessential novel of the Jazz Age has been acclaimed by generations of readers. The story of the mysteriously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted “gin was the national drink and sex the national obsession,” it is an exquisitely crafted tale of America in the 1920s."
6,John Green,2012,The Fault in Our Stars,eng,https://images.gr-assets.com/books/1360206420s/11870085.jpg,21.36,"Now a Major Motion Picture TODAY Book Club pick TIME magazine’s #1 Fiction Book of 2012 ""The greatest romance story of this decade."" —Entertainment Weekly -Millions of copies sold- #1 New York Times Bestseller #1 Wall Street Journal Bestseller #1 USA Today Bestseller #1 International Bestseller #1 Indie Bestseller Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel’s story is about to be completely rewritten. Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning-author John Green’s most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love."
7,J.R.R. Tolkien,1937,The Hobbit,en-US,https://images.gr-assets.com/books/1372847500s/5907.jpg,16.68,
8,J.D. Salinger,1951,The Catcher in the Rye,eng,https://images.gr-assets.com/books/1398034300s/5107.jpg,18.44,
9,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)",en-CA,https://images.gr-assets.com/books/1303390735s/960.jpg,20.48,"The explosive Robert Langdon thriller from Dan Brown, the #1 New York Times bestselling author of The Da Vinci Code and Inferno—now a major film directed by Ron Howard and starring Tom Hanks and Felicity Jones. Angels & Demons careens from enlightening epiphanies to dark truths as the battle between science and religion turns to war. This is the book that started it all: we meet Robert Langdon for the first time, caught up in a race against time to find an apocalyptic time-bomb, planted by an ancient secret society that has surfaced to carry out its ultimate threat: to destroy the Vatican."
37,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,https://images.gr-assets.com/books/1353029077s/100915.jpg,12.69,"Four English schoolchildren find their way through the back of a wardrobe into the magic land of Narnia and assist its ruler, the golden lion Aslan, to triumph over the White Witch, who has cursed the land with eternal winter. Reprint. 100,000 first printing."
127,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,eng,https://images.gr-assets.com/books/1473396980s/2612.jpg,18.34,
10,Jane Austen,1813,Pride and Prejudice,eng,https://images.gr-assets.com/books/1320399351s/1885.jpg,12.93,"Introduction by Elizabeth Hardwick Illustrations by Rockwell Kent Nominated as one of America’s best-loved novels by PBS’s The Great American Read First published in 1851, Herman Melville’s masterpiece is, in Elizabeth Hardwick’s words, “the greatest novel in American literature.” The saga of Captain Ahab and his monomaniacal pursuit of the white whale remains a peerless adventure story but one full of mythic grandeur, poetic majesty, and symbolic power. Filtered through the consciousness of the novel’s narrator, Ishmael, Moby-Dick draws us into a universe full of fascinating characters and stories, from the noble cannibal Queequeg to the natural history of whales, while reaching existential depths that excite debate and contemplation to this day."
11,Khaled Hosseini,2003,The Kite Runner,eng,https://images.gr-assets.com/books/1484565687s/77203.jpg,20.48,"Traces the unlikely friendship of Amir, a wealthy Afghanistani youth, and a servant's son, in a tale that spans the final days of the nation's monarchy through the atrocities of the present day. Reader's Guide available. Reprint."
12,Veronica Roth,2011,"Divergent (Divergent, #1)",eng,https://images.gr-assets.com/books/1328559506s/13335037.jpg,23.65,
13,"George Orwell, Erich Fromm, Celâl Üster",1949,"1984",eng,https://images.gr-assets.com/books/1348990566s/5470.jpg,21.23,"""With detailed notes from the world's leading center for Shakespeare studies""--Cover."
14,George Orwell,1945,Animal Farm,eng,https://images.gr-assets.com/books/1424037542s/7613.jpg,19.16,"75th Anniversary Edition—Includes a New Introduction by Téa Obreht George Orwell's timeless and timely allegorical novel—a scathing satire on a downtrodden society’s blind march towards totalitarianism. SOON TO BE A NETFLIX FILM! “All animals are equal, but some animals are more equal than others.” A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned—a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When Animal Farm was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell’s masterpiece have a meaning and message still ferociously fresh. With a foreword by Ann Patchett"
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,eng,https://images.gr-assets.com/books/1358276407s/48855.jpg,21.98,
16,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,https://images.gr-assets.com/books/1327868566s/2429135.jpg,20.03,"Forty years after the disappearance of Harriet Vanger from the secluded island owned and inhabited by the powerful Vanger family, her octogenarian uncle hires journalist Mikael Blomqvist and Lisbeth Salander, an unconventional young hacker, to investigate"
17,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)",eng,https://images.gr-assets.com/books/1358273780s/6148028.jpg,19.94,
18,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,https://images.gr-assets.com/books/1499277281s/5.jpg,22.73,"During his third year at Hogwarts School for Witchcraft and Wizardry, Harry Potter must confront the devious and dangerous wizard responsible for his parents' deaths."
19,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,https://images.gr-assets.com/books/1298411339s/34.jpg,17.43,"After losing Gandalf and being divided from their other companions during an Orc attack, Frodo and Sam continue towards Mordor, Land of the Enemy, to destroy the Ring, accompanied only by a mysterious figure that follows them."
20,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)",eng,https://images.gr-assets.com/books/1358275419s/7260188.jpg,9.02,"Against all odds, Katniss Everdeen has survived the Hunger Games twice. But now that she's made it out of the bloody arena alive, she's still not safe. The Capitol is angry. The Capitol wants revenge. Who do they think should pay for the unrest? Katniss. And what's worse, President Snow has made it clear that no one else is safe either. Not Katniss's family, not her friends, not the people of District 12. Powerful and haunting, this thrilling final installment of Suzanne Collins's groundbreaking The Hunger Games trilogy promises to be one of the most talked about books of the year."
21,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,https://images.gr-assets.com/books/1387141547s/2.jpg,22.66,
22,Alice Sebold,2002,The Lovely Bones,eng,https://images.gr-assets.com/books/1457810586s/12232938.jpg,17.49,"The spirit of fourteen-year-old Susie Salmon describes her murder, her surprise at her new home in heaven, and her witness to her family's grief, efforts to find the killer, and attempts to come to terms with what has happened. Reprint."
23,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,https://images.gr-assets.com/books/1474169725s/15881.jpg,13.42,
24,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,https://images.gr-assets.com/books/1361482611s/6.jpg,19.56,
25,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,https://images.gr-assets.com/books/1474171184s/136251.jpg,17.98,"The seventh and final book of the blockbuster Harry Potter series follows the wizard's last year at Hogwarts School of Witchcraft and Wizardry. 12,000,000 first printing."
