"payment_id","user_id","created_at","payment_sum"
2,2,2019-12-09 16:57:19.000,42.26
4,4,2019-12-10 03:49:35.000,18.25
6,6,2019-12-12 00:19:08.000,10.52
7,7,2019-12-13 15:15:30.000,14.02
8,8,2019-12-14 00:02:06.000,10.78
10,10,2019-12-17 04:57:55.000,27.68
12,12,2019-12-18 23:50:11.000,12.71
15,15,2019-12-20 18:28:57.000,19.06
16,16,2019-12-21 19:10:52.000,17.82
17,17,2019-12-22 15:47:49.000,31.25
18,18,2019-12-22 23:40:03.000,24.62
20,20,2019-12-23 20:59:54.000,9.15
21,21,2019-12-25 01:02:03.000,29.17
22,22,2019-12-25 11:08:36.000,24.35
23,23,2019-12-25 13:03:52.000,16.43
24,24,2019-12-25 15:37:50.000,79.08
26,26,2019-12-28 23:21:43.000,34.25
27,27,2019-12-29 17:36:29.000,11.72
28,28,2019-12-30 04:35:29.000,24.85
31,30,2019-12-31 23:14:34.000,21.23
32,31,2020-01-01 00:40:11.000,13.76
34,33,2020-01-01 02:23:25.000,59.06
36,35,2020-01-01 14:27:49.000,21.24
37,36,2020-01-01 18:53:30.000,44.91
38,37,2020-01-02 00:11:09.000,16.91
39,38,2020-01-02 05:19:03.000,18.25
40,39,2020-01-02 06:19:52.000,22.46
43,42,2020-01-02 16:36:55.000,15.51
45,44,2020-01-03 08:09:18.000,62.79
46,45,2020-01-03 10:24:49.000,58.56
48,47,2020-01-03 21:11:06.000,11.65
51,50,2020-01-04 10:59:39.000,37.14
52,51,2020-01-05 04:51:43.000,10.93
53,52,2020-01-05 21:08:24.000,58.48
54,53,2020-01-05 21:38:06.000,9.01
57,56,2020-01-06 10:43:48.000,14.04
58,44,2020-01-06 14:14:34.000,16.91
59,57,2020-01-06 15:05:35.000,42.58
61,59,2020-01-08 03:52:18.000,24.74
62,60,2020-01-08 10:17:34.000,18.98
66,64,2020-01-09 21:50:03.000,55.38
68,66,2020-01-10 10:17:26.000,9.56
69,67,2020-01-10 14:01:35.000,22.36
70,68,2020-01-10 15:57:27.000,9.31
75,73,2020-01-11 05:07:06.000,43.59
78,75,2020-01-11 18:21:23.000,55.89
79,30,2020-01-11 19:08:32.000,24.26
80,76,2020-01-12 00:33:02.000,23.03
82,33,2020-01-12 05:02:50.000,42.1
86,81,2020-01-12 12:15:27.000,10.98
87,82,2020-01-12 13:40:03.000,17.9
88,83,2020-01-12 21:57:09.000,38.12
89,84,2020-01-13 01:03:00.000,10.59
90,8,2020-01-13 02:56:59.000,23
91,85,2020-01-13 02:59:10.000,11.06
92,56,2020-01-13 06:54:27.000,64.62
93,86,2020-01-13 12:44:48.000,14.11
94,87,2020-01-13 14:57:16.000,22.8
96,88,2020-01-14 01:03:51.000,17.53
97,89,2020-01-14 01:43:58.000,23.66
99,68,2020-01-14 15:53:15.000,16.18
101,15,2020-01-15 07:57:30.000,20.91
103,93,2020-01-15 10:51:23.000,19.93
104,94,2020-01-15 14:02:34.000,16.47
105,95,2020-01-15 18:36:57.000,12.13
106,96,2020-01-16 04:51:32.000,23.51
108,98,2020-01-16 08:25:48.000,42.17
109,99,2020-01-16 10:34:02.000,34.34
110,22,2020-01-16 13:30:40.000,9.01
111,100,2020-01-16 16:53:32.000,19.35
112,101,2020-01-17 11:00:14.000,21
113,102,2020-01-17 12:29:36.000,12.71
114,103,2020-01-17 19:26:31.000,15.26
115,104,2020-01-18 04:03:22.000,46.96
117,106,2020-01-19 04:40:26.000,18.11
118,107,2020-01-19 05:45:39.000,17.89
119,106,2020-01-19 07:45:46.000,23.59
120,4,2020-01-19 11:12:08.000,24.51
121,108,2020-01-19 17:45:51.000,13.99
123,110,2020-01-19 19:35:29.000,18.43
124,111,2020-01-19 23:13:46.000,23.33
125,112,2020-01-20 02:03:50.000,35.22
129,116,2020-01-20 13:39:56.000,17.96
130,117,2020-01-20 16:13:12.000,21.59
131,118,2020-01-20 19:10:04.000,23.24
132,106,2020-01-21 02:46:12.000,15.55
134,120,2020-01-21 04:46:50.000,24.82
135,121,2020-01-21 05:11:14.000,32.28
138,124,2020-01-21 18:39:45.000,137.1
139,125,2020-01-21 20:25:41.000,86.77
140,126,2020-01-21 23:25:23.000,32.66
141,127,2020-01-22 00:54:00.000,22.83
142,128,2020-01-22 13:45:15.000,11.03
143,129,2020-01-22 15:49:37.000,33.59
144,130,2020-01-22 16:47:55.000,11.72
146,132,2020-01-23 08:21:41.000,24.83
147,133,2020-01-23 12:14:02.000,26.83
148,134,2020-01-23 13:42:16.000,61.91
149,135,2020-01-23 16:58:09.000,30.51
152,137,2020-01-24 18:22:11.000,23.64
154,139,2020-01-25 05:53:45.000,23.64
156,141,2020-01-25 11:33:20.000,16.3
158,143,2020-01-25 13:52:47.000,89.89
159,144,2020-01-25 16:35:22.000,23.51
161,146,2020-01-26 04:22:23.000,20.52
162,147,2020-01-26 19:15:24.000,31.96
163,148,2020-01-26 21:08:02.000,9.53
165,150,2020-01-27 03:25:23.000,17.74
169,154,2020-01-28 02:36:06.000,62.16
170,155,2020-01-28 05:58:03.000,24.8
171,156,2020-01-28 07:37:05.000,9.78
172,157,2020-01-29 03:37:43.000,23.24
178,161,2020-01-29 18:28:57.000,242.89
179,162,2020-01-29 20:54:17.000,36.2
181,164,2020-01-29 21:44:54.000,19.64
182,165,2020-01-30 01:47:20.000,27.06
184,166,2020-01-30 02:49:25.000,24.06
183,99,2020-01-30 02:52:06.000,27.21
186,168,2020-01-30 08:24:50.000,15.75
187,39,2020-01-30 08:30:59.000,19.1
189,146,2020-01-30 11:37:37.000,9.53
190,170,2020-01-30 16:11:41.000,47.92
