country,dt,revenue
France,2019-12-12,10.52
France,2020-01-08,24.74
France,2020-01-19,41.7
France,2020-01-20,23.24
France,2020-01-21,47.83
France,2020-01-26,31.96
France,2020-01-27,17.74
France,2020-01-31,22.95
France,2020-02-01,22.11
France,2020-02-03,21.5
France,2020-02-09,15.42
France,2020-02-12,45.87
France,2020-03-07,40.57
France,2020-03-09,56.38
France,2020-03-11,18.93
France,2020-03-13,21.67
France,2020-03-15,21.7
France,2020-03-20,16.91
France,2020-03-23,16.54
France,2020-04-05,49.93
France,2020-04-11,30.16
France,2020-04-14,34.3
France,2020-04-23,44.97
France,2020-04-26,46.65
France,2020-04-27,33.900000000000006
France,2020-05-03,33.96
France,2020-05-07,23.06
France,2020-05-10,54.17
France,2020-05-22,10.18
France,2020-05-23,10.8
France,2020-05-26,49.24
France,2020-05-27,9.43
France,2020-05-29,47.66
France,2020-05-31,15.95
France,2020-06-02,24.16
France,2020-06-05,20.91
France,2020-06-06,17.74
France,2020-06-07,29.89
France,2020-06-14,17.89
France,2020-06-15,16.07
France,2020-06-18,17.96
France,2020-06-25,20.52
France,2020-06-26,9.26
France,2020-06-27,32.63
France,2020-06-28,34.02
France,2020-07-08,182.64
France,2020-07-10,47.64
France,2020-07-14,50.53
France,2020-07-17,56.11
France,2020-07-19,12.43
France,2020-07-20,56.76
France,2020-07-22,19.63
France,2020-07-24,15.19
France,2020-07-25,17.72
France,2020-07-26,9.12
France,2020-07-28,39.14
France,2020-08-01,102.64
France,2020-08-04,13.28
France,2020-08-05,23.36
France,2020-08-07,12.58
France,2020-08-12,37.17
France,2020-08-16,47.37
France,2020-08-18,13.14
France,2020-08-19,18.25
France,2020-08-21,9.3
France,2020-08-23,20.44
France,2020-08-25,23.38
France,2020-08-27,9.93
France,2020-08-29,24.43
France,2020-09-01,10.55
France,2020-09-05,34.61
France,2020-09-06,73.69
France,2020-09-08,16.03
France,2020-09-09,13.4
France,2020-09-10,18.99
France,2020-09-11,33.3
France,2020-09-17,46.55
France,2020-09-18,77.38
France,2020-09-21,11.26
France,2020-09-22,13.65
France,2020-09-24,13.89
France,2020-09-27,30.450000000000003
France,2020-09-29,35.76
France,2020-10-01,18.58
France,2020-10-03,71.65
France,2020-10-07,19.08
France,2020-10-09,145.36
France,2020-10-10,59.25
France,2020-10-12,41.14
France,2020-10-16,9.56
France,2020-10-17,52.09
France,2020-10-19,60.61
France,2020-10-21,32.6
France,2020-10-22,109.29
France,2020-10-25,46.04
France,2020-10-27,9.82
France,2020-10-29,30.44
France,2020-10-30,45.4
France,2020-10-31,15.88
France,2020-11-01,22.42
France,2020-11-03,68.08
France,2020-11-05,34.620000000000005
France,2020-11-09,34.72
France,2020-11-11,18.43
France,2020-11-12,17.79
France,2020-11-16,16.5
France,2020-11-19,19.64
France,2020-11-20,18.39
France,2020-11-21,12.43
France,2020-11-24,16.48
France,2020-11-25,39.94
France,2020-11-27,70.87
France,2020-11-28,43.47
France,2020-12-05,12.3
France,2020-12-06,30.15
France,2020-12-08,37.96
France,2020-12-09,23.96
France,2020-12-10,34.4
France,2020-12-11,36.76
France,2020-12-12,105.06
France,2020-12-15,18.29
France,2020-12-17,107.01
France,2020-12-19,35.59
France,2020-12-20,143.7
France,2020-12-23,29.74
France,2020-12-24,42.03
France,2020-12-25,65.28
France,2020-12-29,28.28
France,2020-12-31,14.95
France,2021-01-01,86.39
France,2021-01-02,13.84
France,2021-01-04,44.45
France,2021-01-09,23.66
France,2021-01-10,31.92
France,2021-01-14,150.73
France,2021-01-15,19.08
France,2021-01-18,15.29
France,2021-01-22,96.59
France,2021-01-26,43.11
France,2021-01-27,14.98
France,2021-01-28,44.75
France,2021-02-01,39.33
France,2021-02-03,16.18
France,2021-02-04,18.39
France,2021-02-10,166.17999999999998
France,2021-02-17,15.95
France,2021-02-20,11.61
France,2021-02-26,47.58
France,2021-02-27,37.97
France,2021-02-28,15.4
France,2021-03-02,9.15
France,2021-03-04,11.85
France,2021-03-07,20.66
France,2021-03-11,23.03
France,2021-03-15,9.17
France,2021-03-17,24.84
France,2021-03-19,63.38
France,2021-03-25,27.6
France,2021-03-28,12.37
France,2021-03-29,60.05
France,2021-03-31,11.41
France,2021-04-02,9.31
France,2021-04-03,40.97
France,2021-04-06,17.59
France,2021-04-10,11.48
France,2021-04-13,108.24
France,2021-04-16,15.55
France,2021-04-18,68.23
France,2021-04-22,34.22
France,2021-04-24,71.8
France,2021-04-27,63.95
France,2021-04-28,44.86
France,2021-04-29,23.57
France,2021-04-30,40.33
France,2021-05-01,60.39
France,2021-05-02,24.3
France,2021-05-03,19.33
France,2021-05-04,15.16
France,2021-05-05,15.7
France,2021-05-06,52.870000000000005
France,2021-05-08,107.9
France,2021-05-12,12.97
France,2021-05-13,12.07
France,2021-05-17,12.58
France,2021-05-18,58.0
France,2021-05-21,60.9
France,2021-05-26,11.21
France,2021-05-30,45.48
France,2021-06-03,21.47
France,2021-06-04,13.93
France,2021-06-05,31.0
France,2021-06-06,18.87
France,2021-06-10,33.19
France,2021-06-12,15.95
France,2021-06-14,9.39
France,2021-06-16,36.11
France,2021-06-17,80.53999999999999
France,2021-06-18,37.77
France,2021-06-20,21.0
France,2021-06-21,23.57
France,2021-06-22,36.03
France,2021-06-23,36.6
France,2021-06-24,21.23
France,2021-06-28,21.78
France,2021-07-06,70.89
France,2021-07-07,30.8
France,2021-07-09,34.9
France,2021-07-12,9.09
France,2021-07-14,91.56
France,2021-07-16,11.32
France,2021-07-17,9.26
France,2021-07-19,13.89
France,2021-07-20,36.57
France,2021-07-22,19.58
France,2021-07-23,40.98
France,2021-07-24,22.95
France,2021-07-30,16.48
France,2021-08-04,62.8
France,2021-08-06,21.23
France,2021-08-07,20.72
France,2021-08-08,18.67
France,2021-08-11,35.09
France,2021-08-17,10.18
France,2021-08-18,9.52
France,2021-08-21,22.91
France,2021-08-25,34.18
France,2021-08-28,14.67
France,2021-08-29,44.72
France,2021-08-30,25.73
France,2021-08-31,23.03
France,2021-09-02,20.03
France,2021-09-05,24.03
France,2021-09-08,29.39
France,2021-09-09,18.8
France,2021-09-14,13.65
France,2021-09-15,23.64
France,2021-09-19,15.07
France,2021-09-20,45.53
France,2021-09-21,14.93
France,2021-09-22,20.36
France,2021-09-23,15.07
France,2021-09-25,29.160000000000004
France,2021-09-26,19.7
France,2021-09-27,54.89
France,2021-09-28,18.97
France,2021-09-30,70.91
France,2021-10-04,36.63
France,2021-10-05,27.86
France,2021-10-07,17.3
France,2021-10-11,16.91
France,2021-10-12,21.51
France,2021-10-14,24.08
France,2021-10-16,39.44
France,2021-10-17,57.82
France,2021-10-18,15.95
France,2021-10-21,35.15
France,2021-10-23,22.63
France,2021-10-24,57.35
France,2021-10-27,13.27
France,2021-10-28,22.24
France,2021-10-29,10.22
France,2021-11-04,41.32
France,2021-11-06,21.16
France,2021-11-08,12.43
France,2021-11-11,44.58
France,2021-11-12,93.19
France,2021-11-13,43.18
France,2021-11-14,17.23
France,2021-11-15,18.6
France,2021-11-16,13.02
France,2021-11-18,96.9
France,2021-11-19,87.22
France,2021-11-25,42.75
France,2021-11-26,63.58
France,2021-11-29,22.24
France,2021-11-30,10.61
France,2021-12-02,28.39
France,2021-12-06,104.08
France,2021-12-08,12.23
France,2021-12-09,32.65
France,2021-12-14,13.14
France,2021-12-15,22.11
France,2021-12-17,22.34
France,2021-12-18,12.47
France,2021-12-19,69.14
France,2021-12-21,10.58
France,2021-12-22,37.34
France,2021-12-23,69.42
France,2021-12-24,66.56
France,2022-01-01,17.79
France,2022-01-03,38.21
France,2022-01-04,72.02
France,2022-01-07,38.66
France,2022-01-09,10.61
France,2022-01-11,23.01
France,2022-01-13,41.94
France,2022-01-16,31.88
France,2022-01-19,32.45
France,2022-01-20,29.54
France,2022-01-22,16.5
France,2022-01-23,14.07
France,2022-01-24,37.49
France,2022-01-25,31.24
France,2022-01-27,40.98
France,2022-01-29,16.18
France,2022-01-30,35.12
France,2022-02-01,91.73
France,2022-02-07,19.35
France,2022-02-08,40.66
France,2022-02-12,36.82
France,2022-02-15,24.57
France,2022-02-16,41.29
France,2022-02-19,16.07
France,2022-02-20,42.54
France,2022-02-21,21.16
France,2022-02-22,32.59
France,2022-02-23,42.26
France,2022-02-25,14.8
France,2022-02-28,24.57
France,2022-03-01,21.7
France,2022-03-02,89.25
France,2022-03-05,9.6
France,2022-03-06,61.15
France,2022-03-09,22.09
France,2022-03-11,23.59
France,2022-03-14,66.28999999999999
France,2022-03-15,9.09
France,2022-03-17,132.17000000000002
France,2022-03-19,34.32
France,2022-03-22,71.75
France,2022-03-23,13.63
France,2022-03-25,21.4
France,2022-03-26,47.55
France,2022-03-28,54.05
France,2022-03-30,12.68
France,2022-04-01,12.26
France,2022-04-03,12.01
France,2022-04-04,50.52
France,2022-04-05,104.89
France,2022-04-07,13.14
France,2022-04-09,58.44
France,2022-04-10,58.72
France,2022-04-12,15.01
France,2022-04-14,47.88
France,2022-04-15,40.46
France,2022-04-18,17.91
France,2022-04-20,11.33
France,2022-04-25,21.7
France,2022-04-28,18.5
France,2022-04-30,169.08
France,2022-05-02,23.38
France,2022-05-04,21.4
France,2022-05-07,15.02
France,2022-05-08,43.04
France,2022-05-09,42.92
France,2022-05-11,68.67
France,2022-05-14,26.65
France,2022-05-16,41.82
France,2022-05-17,48.55
France,2022-05-18,48.27
France,2022-05-19,42.51
France,2022-05-20,50.87
France,2022-05-22,30.96
France,2022-05-23,22.78
France,2022-05-25,11.04
France,2022-05-27,15.88
France,2022-05-31,21.0
France,2022-06-03,90.53
France,2022-06-04,12.07
France,2022-06-05,50.6
France,2022-06-07,126.62
France,2022-06-08,28.67
France,2022-06-09,35.08
France,2022-06-10,15.16
France,2022-06-11,131.57
France,2022-06-12,39.9
France,2022-06-13,24.05
France,2022-06-14,146.75
France,2022-06-16,20.57
France,2022-06-18,54.75
France,2022-06-19,152.36
France,2022-06-21,52.83
France,2022-06-22,71.89999999999999
France,2022-06-23,17.72
France,2022-06-24,12.82
France,2022-06-25,95.76
France,2022-06-26,92.01
France,2022-06-27,42.65
France,2022-06-28,24.5
France,2022-06-29,37.96
France,2022-07-01,135.05
France,2022-07-02,86.65
France,2022-07-03,13.14
France,2022-07-05,20.26
France,2022-07-06,27.36
France,2022-07-08,21.96
France,2022-07-09,69.34
France,2022-07-10,21.78
France,2022-07-11,48.35
France,2022-07-12,64.73
France,2022-07-13,34.07
France,2022-07-14,10.55
France,2022-07-15,88.41
France,2022-07-17,47.59
France,2022-07-18,54.25
France,2022-07-19,11.24
France,2022-07-20,87.78
France,2022-07-21,92.26
France,2022-07-22,15.7
France,2022-07-24,75.74
France,2022-07-25,70.11
France,2022-07-26,77.0
France,2022-07-27,14.07
France,2022-07-28,16.03
France,2022-07-29,71.64
France,2022-07-30,76.15
France,2022-08-01,65.2
France,2022-08-03,44.74
France,2022-08-04,63.66
France,2022-08-05,27.32
France,2022-08-06,96.86
France,2022-08-08,36.63
France,2022-08-09,30.5
France,2022-08-10,57.44
France,2022-08-11,246.04
France,2022-08-12,36.09
France,2022-08-14,44.04
France,2022-08-15,159.02
France,2022-08-16,53.63
France,2022-08-17,16.54
France,2022-08-18,61.94
France,2022-08-19,69.93
France,2022-08-21,188.23
France,2022-08-22,10.13
France,2022-08-23,77.72
France,2022-08-24,19.5
France,2022-08-26,67.69
France,2022-08-27,32.160000000000004
France,2022-08-28,15.75
France,2022-08-29,68.63
France,2022-08-31,15.98
France,2022-09-01,24.84
France,2022-09-02,12.47
France,2022-09-03,164.76000000000002
France,2022-09-04,56.61
