country,dt,revenue
Germany,2019-12-10,18.25
Germany,2019-12-25,24.35
Germany,2020-01-01,59.06
Germany,2020-01-02,16.91
Germany,2020-01-12,42.1
Germany,2020-01-13,11.06
Germany,2020-01-16,9.01
Germany,2020-01-17,21.0
Germany,2020-01-19,42.400000000000006
Germany,2020-01-26,9.53
Germany,2020-01-28,9.78
Germany,2020-02-04,11.21
Germany,2020-02-06,36.93
Germany,2020-02-07,15.85
Germany,2020-02-12,27.410000000000004
Germany,2020-02-15,14.24
Germany,2020-02-17,54.46
Germany,2020-02-23,18.67
Germany,2020-02-25,22.39
Germany,2020-03-09,23.41
Germany,2020-03-12,11.72
Germany,2020-03-16,65.4
Germany,2020-03-17,17.3
Germany,2020-03-18,20.95
Germany,2020-03-22,15.07
Germany,2020-03-24,13.63
Germany,2020-03-29,43.78
Germany,2020-03-30,18.84
Germany,2020-04-04,24.16
Germany,2020-04-09,104.87
Germany,2020-04-12,34.37
Germany,2020-04-16,34.94
Germany,2020-04-18,16.48
Germany,2020-04-21,101.44
Germany,2020-04-22,27.82
Germany,2020-04-23,20.17
Germany,2020-04-26,30.97
Germany,2020-05-03,56.95
Germany,2020-05-05,55.53
Germany,2020-05-06,77.21000000000001
Germany,2020-05-07,19.11
Germany,2020-05-08,91.99
Germany,2020-05-10,45.32
Germany,2020-05-12,68.61
Germany,2020-05-13,28.68
Germany,2020-05-16,15.7
Germany,2020-05-20,18.99
Germany,2020-05-21,10.93
Germany,2020-05-22,19.35
Germany,2020-05-25,79.32
Germany,2020-05-29,90.28
Germany,2020-05-30,49.02
Germany,2020-06-02,74.71000000000001
Germany,2020-06-07,18.77
Germany,2020-06-09,22.84
Germany,2020-06-10,59.94
Germany,2020-06-11,12.6
Germany,2020-06-13,14.99
Germany,2020-06-16,79.28
Germany,2020-06-17,22.75
Germany,2020-06-19,19.29
Germany,2020-06-22,22.33
Germany,2020-06-26,23.96
Germany,2020-06-27,45.22
Germany,2020-06-28,32.41
Germany,2020-07-01,67.48
Germany,2020-07-04,33.55
Germany,2020-07-10,40.47
Germany,2020-07-11,78.09
Germany,2020-07-14,14.96
Germany,2020-07-15,14.96
Germany,2020-07-16,23.51
Germany,2020-07-17,45.63
Germany,2020-07-18,89.02
Germany,2020-07-21,36.5
Germany,2020-07-23,51.58
Germany,2020-07-24,81.17
Germany,2020-07-25,49.68
Germany,2020-07-28,69.96
Germany,2020-07-30,29.52
Germany,2020-07-31,64.84
Germany,2020-08-01,93.24
Germany,2020-08-06,30.54
Germany,2020-08-08,23.25
Germany,2020-08-10,119.74
Germany,2020-08-11,217.9
Germany,2020-08-12,21.5
Germany,2020-08-13,14.91
Germany,2020-08-14,13.17
Germany,2020-08-15,134.73999999999998
Germany,2020-08-16,21.28
Germany,2020-08-17,16.16
Germany,2020-08-20,108.46
Germany,2020-08-21,211.69
Germany,2020-08-22,22.57
Germany,2020-08-24,23.84
Germany,2020-08-25,64.82
Germany,2020-08-26,83.34
Germany,2020-08-27,18.3
Germany,2020-08-28,11.82
Germany,2020-09-01,9.01
Germany,2020-09-02,12.37
Germany,2020-09-03,59.85
Germany,2020-09-04,28.28
Germany,2020-09-05,15.42
Germany,2020-09-06,69.13
Germany,2020-09-07,18.5
Germany,2020-09-10,16.48
Germany,2020-09-12,32.74
Germany,2020-09-13,10.05
Germany,2020-09-14,11.8
Germany,2020-09-15,16.57
Germany,2020-09-21,13.17
Germany,2020-09-25,33.31
Germany,2020-09-27,34.06
Germany,2020-09-28,14.16
Germany,2020-09-29,22.62
Germany,2020-09-30,34.98
Germany,2020-10-01,24.41
Germany,2020-10-02,21.65
Germany,2020-10-04,19.75
Germany,2020-10-07,68.58
Germany,2020-10-08,96.57
Germany,2020-10-10,21.71
Germany,2020-10-11,9.74
Germany,2020-10-12,178.47
Germany,2020-10-13,14.36
Germany,2020-10-14,18.0
Germany,2020-10-16,24.19
Germany,2020-10-17,9.05
Germany,2020-10-18,19.5
Germany,2020-10-20,69.7
Germany,2020-10-21,12.01
Germany,2020-10-22,23.64
Germany,2020-10-23,33.47
Germany,2020-10-25,24.82
Germany,2020-10-27,20.66
Germany,2020-10-30,14.07
Germany,2020-10-31,151.01999999999998
Germany,2020-11-01,89.99
Germany,2020-11-02,64.47
Germany,2020-11-05,102.8
Germany,2020-11-06,54.36
Germany,2020-11-07,24.27
Germany,2020-11-10,65.57999999999998
Germany,2020-11-11,19.35
Germany,2020-11-12,24.06
Germany,2020-11-13,22.66
Germany,2020-11-15,25.72
Germany,2020-11-16,31.0
Germany,2020-11-18,106.99
Germany,2020-11-19,21.4
Germany,2020-11-21,48.96
Germany,2020-11-22,41.28
Germany,2020-11-23,43.24
Germany,2020-11-25,68.52000000000001
Germany,2020-11-27,38.09
Germany,2020-11-30,19.11
Germany,2020-12-01,62.29
Germany,2020-12-02,60.34
Germany,2020-12-06,42.1
Germany,2020-12-07,58.38
Germany,2020-12-11,22.63
Germany,2020-12-12,12.43
Germany,2020-12-13,143.9
Germany,2020-12-15,62.39
Germany,2020-12-16,27.91
Germany,2020-12-17,23.45
Germany,2020-12-18,14.31
Germany,2020-12-19,31.9
Germany,2020-12-20,15.22
Germany,2020-12-24,13.28
Germany,2020-12-25,39.3
Germany,2020-12-26,39.8
Germany,2020-12-28,88.7
Germany,2020-12-30,10.49
Germany,2020-12-31,72.08
Germany,2021-01-02,18.06
Germany,2021-01-03,109.16
Germany,2021-01-05,48.86
Germany,2021-01-06,50.53
Germany,2021-01-08,75.79
Germany,2021-01-10,45.57
Germany,2021-01-11,13.94
Germany,2021-01-12,65.58
Germany,2021-01-15,22.84
Germany,2021-01-17,18.93
Germany,2021-01-20,12.71
Germany,2021-01-21,77.34
Germany,2021-01-25,19.06
Germany,2021-01-26,28.87
Germany,2021-01-27,12.37
Germany,2021-01-28,11.1
Germany,2021-01-29,17.05
Germany,2021-01-30,35.04
Germany,2021-01-31,11.94
Germany,2021-02-01,16.18
Germany,2021-02-03,16.03
Germany,2021-02-04,32.32
Germany,2021-02-06,15.98
Germany,2021-02-08,37.18
Germany,2021-02-09,53.34
Germany,2021-02-10,54.1
Germany,2021-02-11,77.03
Germany,2021-02-13,23.45
Germany,2021-02-14,34.18
Germany,2021-02-16,49.71
Germany,2021-02-17,128.98
Germany,2021-02-19,11.32
Germany,2021-02-20,17.76
Germany,2021-02-21,24.8
Germany,2021-02-22,17.3
Germany,2021-02-25,24.8
Germany,2021-02-28,12.31
Germany,2021-03-03,94.38
Germany,2021-03-04,114.12
