"line_item_id","payment_id","item_id","quantity","price"
2,2,556,1,20.17
3,2,4098,1,22.09
5,4,6187,1,18.25
7,6,1197,1,10.52
8,7,493,1,14.02
9,8,5949,1,10.78
12,10,3753,1,12.13
13,10,3138,1,15.55
15,12,3764,1,12.71
19,15,5100,1,19.06
20,16,691,1,17.82
21,17,6530,1,17.96
22,17,5326,1,13.29
23,18,6417,1,24.62
25,20,126,1,9.15
26,21,6512,1,9.78
27,21,3061,1,19.39
28,22,2859,1,24.35
29,23,5508,1,16.43
30,24,1619,3,19.28
31,24,6684,1,21.24
33,26,1337,1,15.75
34,26,73,1,18.5
35,27,1112,1,11.72
36,28,135,1,24.85
41,31,9523,1,21.23
42,32,295,1,13.76
44,34,2584,3,15.16
45,34,755,1,13.58
48,36,6684,1,21.24
49,37,1014,1,14.07
50,37,37,2,15.42
51,38,8874,1,16.91
52,39,483,1,18.25
53,40,894,1,22.46
56,43,798,1,15.51
59,45,5258,1,18.77
60,45,6141,1,19.52
61,45,211,1,24.5
62,46,2500,2,9.01
63,46,2704,1,18.43
64,46,9085,1,22.11
67,48,347,1,11.65
70,51,8371,1,12.3
71,51,3363,1,24.84
72,52,3179,1,10.93
73,53,5,2,21.61
74,53,5655,1,15.26
75,54,2500,1,9.01
78,57,2196,1,14.04
79,58,1748,1,16.91
80,59,264,1,9.31
81,59,2254,3,11.09
83,61,3858,2,12.37
84,62,9494,1,18.98
88,66,4282,1,12.6
89,66,2583,1,18.3
90,66,688,1,24.48
92,68,252,1,9.56
93,69,514,1,22.36
94,70,264,1,9.31
99,75,5258,1,18.77
100,75,3978,1,24.82
104,78,897,3,18.63
105,79,2109,1,24.26
106,80,3600,1,23.03
108,82,2361,2,21.05
113,86,4014,1,10.98
114,87,1645,1,17.9
115,88,4698,4,9.53
116,89,1019,1,10.59
117,90,785,1,23
118,91,9257,1,11.06
119,92,3756,1,17.53
120,92,1368,1,24.8
121,92,3409,1,22.29
122,93,3202,1,14.11
123,94,2755,1,22.8
125,96,3756,1,17.53
126,97,5505,1,23.66
128,99,332,1,16.18
130,101,237,1,20.91
132,103,8155,1,19.93
133,104,890,1,16.47
134,105,641,1,12.13
135,106,488,1,23.51
137,108,4768,1,23.97
138,108,8312,1,18.2
139,109,5332,1,24.82
140,109,474,1,9.52
141,110,2500,1,9.01
142,111,8859,1,19.35
143,112,3229,1,21
144,113,3764,1,12.71
145,114,5655,1,15.26
146,115,2357,1,10.18
147,115,337,1,23.64
148,115,349,1,13.14
150,117,17,1,18.11
151,118,2095,1,17.89
152,119,422,1,23.59
153,120,240,1,14.98
154,120,4698,1,9.53
155,121,5876,1,13.99
157,123,2704,1,18.43
158,124,2957,1,23.33
159,125,7611,2,17.61
163,129,6530,1,17.96
164,130,2536,1,21.59
165,131,48,1,23.24
166,132,3138,1,15.55
168,134,5332,1,24.82
