order_id,order_date,order_amount,order_quantity,client_type
1,2022-01-01 00:00:00.000000000,95.4,4,corporate
2,2022-01-01 02:54:46.695565188,96.3,3,individual
3,2022-01-01 05:49:33.391130376,98.1,1,corporate
4,2022-01-01 08:44:20.086695565,92.7,3,corporate
5,2022-01-01 11:39:06.782260753,81.9,1,individual
6,2022-01-01 14:33:53.477825941,86.4,1,individual
7,2022-01-01 17:28:40.173391130,83.7,1,individual
8,2022-01-01 20:23:26.868956318,83.7,3,individual
9,2022-01-01 23:18:13.564521507,93.6,1,individual
10,2022-01-02 02:13:00.260086695,94.5,4,individual
11,2022-01-02 05:07:46.955651883,81.0,4,corporate
12,2022-01-02 08:02:33.651217072,90.9,3,corporate
13,2022-01-02 10:57:20.346782260,87.3,3,corporate
14,2022-01-02 13:52:07.042347449,93.6,4,corporate
15,2022-01-02 16:46:53.737912637,81.0,3,corporate
16,2022-01-02 19:41:40.433477825,84.6,4,individual
17,2022-01-02 22:36:27.129043014,91.8,3,corporate
18,2022-01-03 01:31:13.824608202,86.4,4,corporate
19,2022-01-03 04:26:00.520173391,94.5,1,individual
20,2022-01-03 07:20:47.215738579,81.9,2,individual
21,2022-01-03 10:15:33.911303767,81.9,4,corporate
22,2022-01-03 13:10:20.606868956,86.4,1,individual
23,2022-01-03 16:05:07.302434144,88.2,4,corporate
24,2022-01-03 18:59:53.997999333,98.1,1,corporate
25,2022-01-03 21:54:40.693564521,93.6,3,individual
26,2022-01-04 00:49:27.389129709,87.3,4,corporate
27,2022-01-04 03:44:14.084694898,91.8,2,corporate
28,2022-01-04 06:39:00.780260086,92.7,2,corporate
29,2022-01-04 09:33:47.475825275,82.8,1,individual
30,2022-01-04 12:28:34.171390463,98.1,1,individual
31,2022-01-04 15:23:20.866955651,94.5,3,individual
32,2022-01-04 18:18:07.562520840,96.3,2,individual
33,2022-01-04 21:12:54.258086028,84.6,2,individual
34,2022-01-05 00:07:40.953651217,92.7,3,individual
35,2022-01-05 03:02:27.649216405,90.0,3,individual
36,2022-01-05 05:57:14.344781593,81.9,2,individual
37,2022-01-05 08:52:01.040346782,92.7,2,corporate
38,2022-01-05 11:46:47.735911970,81.9,3,individual
39,2022-01-05 14:41:34.431477159,89.1,1,individual
40,2022-01-05 17:36:21.127042347,87.3,1,individual
41,2022-01-05 20:31:07.822607535,93.6,2,corporate
42,2022-01-05 23:25:54.518172724,88.2,4,individual
43,2022-01-06 02:20:41.213737912,84.6,4,individual
44,2022-01-06 05:15:27.909303101,98.1,2,corporate
45,2022-01-06 08:10:14.604868289,87.3,4,corporate
46,2022-01-06 11:05:01.300433477,81.0,2,individual
47,2022-01-06 13:59:47.995998666,92.7,1,corporate
48,2022-01-06 16:54:34.691563854,92.7,3,individual
49,2022-01-06 19:49:21.387129043,82.8,1,corporate
50,2022-01-06 22:44:08.082694231,90.9,3,individual
51,2022-01-07 01:38:54.778259419,97.2,2,corporate
52,2022-01-07 04:33:41.473824608,92.7,4,corporate
53,2022-01-07 07:28:28.169389796,96.3,1,individual
54,2022-01-07 10:23:14.864954985,88.2,4,individual
55,2022-01-07 13:18:01.560520173,81.0,2,individual
56,2022-01-07 16:12:48.256085361,81.9,3,corporate
57,2022-01-07 19:07:34.951650550,82.8,3,corporate
58,2022-01-07 22:02:21.647215738,96.3,3,individual
59,2022-01-08 00:57:08.342780927,90.9,2,individual
60,2022-01-08 03:51:55.038346115,95.4,2,individual
61,2022-01-08 06:46:41.733911303,98.1,1,individual
62,2022-01-08 09:41:28.429476492,94.5,4,corporate
63,2022-01-08 12:36:15.125041680,91.8,2,individual
64,2022-01-08 15:31:01.820606869,87.3,3,individual
65,2022-01-08 18:25:48.516172057,98.1,1,individual
66,2022-01-08 21:20:35.211737245,88.2,1,individual
67,2022-01-09 00:15:21.907302434,90.9,3,corporate
68,2022-01-09 03:10:08.602867622,87.3,2,individual
69,2022-01-09 06:04:55.298432811,81.0,4,individual
70,2022-01-09 08:59:41.993997999,83.7,3,corporate
71,2022-01-09 11:54:28.689563187,87.3,4,individual
72,2022-01-09 14:49:15.385128376,84.6,2,corporate
73,2022-01-09 17:44:02.080693564,90.0,1,individual
74,2022-01-09 20:38:48.776258753,93.6,3,individual
75,2022-01-09 23:33:35.471823941,82.8,2,individual
76,2022-01-10 02:28:22.167389129,88.2,2,individual
77,2022-01-10 05:23:08.862954318,88.2,3,individual
78,2022-01-10 08:17:55.558519506,91.8,4,individual
79,2022-01-10 11:12:42.254084694,83.7,4,individual
80,2022-01-10 14:07:28.949649883,90.9,1,individual
81,2022-01-10 17:02:15.645215071,94.5,4,individual
82,2022-01-10 19:57:02.340780260,84.6,2,individual
83,2022-01-10 22:51:49.036345448,94.5,1,individual
84,2022-01-11 01:46:35.731910636,88.2,3,corporate
85,2022-01-11 04:41:22.427475825,94.5,2,corporate
86,2022-01-11 07:36:09.123041013,94.5,4,corporate
87,2022-01-11 10:30:55.818606202,88.2,4,corporate
88,2022-01-11 13:25:42.514171390,83.7,1,individual
89,2022-01-11 16:20:29.209736578,96.3,4,corporate
90,2022-01-11 19:15:15.905301767,81.0,2,individual
91,2022-01-11 22:10:02.600866955,88.2,4,corporate
92,2022-01-12 01:04:49.296432144,81.0,2,corporate
93,2022-01-12 03:59:35.991997332,89.1,1,individual
94,2022-01-12 06:54:22.687562520,86.4,1,individual
95,2022-01-12 09:49:09.383127709,85.5,3,individual
96,2022-01-12 12:43:56.078692897,93.6,1,corporate
97,2022-01-12 15:38:42.774258086,92.7,2,individual
98,2022-01-12 18:33:29.469823274,85.5,1,corporate
99,2022-01-12 21:28:16.165388462,85.5,3,corporate
100,2022-01-13 00:23:02.860953651,90.9,1,individual
101,2022-01-13 03:17:49.556518839,94.5,4,individual
102,2022-01-13 06:12:36.252084028,88.2,4,corporate
103,2022-01-13 09:07:22.947649216,90.9,4,individual
104,2022-01-13 12:02:09.643214404,89.1,3,corporate
105,2022-01-13 14:56:56.338779593,95.4,4,individual
106,2022-01-13 17:51:43.034344781,85.5,2,individual
107,2022-01-13 20:46:29.729909970,98.1,4,individual
108,2022-01-13 23:41:16.425475158,93.6,1,individual
109,2022-01-14 02:36:03.121040346,82.8,2,individual
110,2022-01-14 05:30:49.816605535,88.2,1,corporate
